"","V1","V2","V3"
"1",-0.910434356960891,-3.31167405686185,-0.57768598057677
"2",-3.08578427386517,-0.666946190938659,-0.81863741217088
"3",-1.58845845895705,-0.356311418681098,-2.34857382670322
"4",-3.68558759094136,-0.191270364589978,-1.90375322644646
"5",-1.01020552157415,-2.24484977326281,-0.635043544814516
"6",-1.19435900979602,-1.63105450191665,-0.690393219318802
"7",-0.87355004213337,-2.67824237342045,-0.665825167384806
"8",-1.42339547210651,-0.650835013495206,-1.4376075249543
"9",-1.70588834079741,-1.75937220203971,-0.436590345381499
"10",-1.06108858323245,-2.59456685368459,-0.546033347442485
"11",-4.64553017948926,-0.564959476506856,-0.86272061797676
"12",-1.97137510423641,-0.74363731138809,-0.953595160465354
"13",-4.37766764748409,-0.566531896375907,-0.867607122788198
"14",-1.4008942126024,-1.79873843531332,-0.53083125432533
"15",-1.29135661446151,-2.07912159712441,-0.510721628211265
"16",-1.53332782074755,-1.11580305011412,-0.784097195391344
"17",-4.01265832644153,-0.481610058512044,-1.01025303991551
"18",-3.29022635663847,-0.198878087875168,-1.94417826094728
"19",-2.90870934902708,-0.733912019030391,-0.764801132667377
"20",-2.8335720479077,-0.335249904476566,-1.48705115890987
"21",-1.68060992604667,-0.666972340712462,-1.20237588369808
"22",-2.65718840299068,-0.294349793594866,-1.6882701505653
"23",-1.10680693132471,-2.46617308392705,-0.537036352736496
"24",-0.853960963020219,-2.52780500757171,-0.704328193697692
"25",-3.27652888307789,-0.346680110732945,-1.36567073641255
"26",-2.52927642382651,-0.50980875778384,-1.14045702605111
"27",-2.56954430328667,-0.545445732212509,-1.06756086445358
"28",-1.45454593102072,-2.98192765369775,-0.334356415564618
"29",-0.927902397611304,-2.4468922640256,-0.657672662405488
"30",-1.05098475440988,-2.35858941488001,-0.587251086014737
"31",-4.44275985156391,-0.12335468946771,-2.26061343189423
"32",-0.866404594762964,-1.78920079978898,-0.885650520816389
"33",-1.09359521794085,-1.10112681068801,-1.10113377899755
"34",-1.79651202446299,-0.782858744941262,-0.975440784070001
"35",-2.05625853935938,-0.837439915852443,-0.822684006057595
"36",-3.4788641608645,-0.267224365205457,-1.59132162540394
"37",-0.977814185384948,-2.92099552913965,-0.56214063422874
"38",-3.46262374441307,-0.179448102082336,-2.01799827321953
"39",-1.22653234254088,-2.33741634763636,-0.494107396631343
"40",-1.86950989932348,-0.861059885974168,-0.860177524846808
"41",-1.66475390552232,-0.697853352922217,-1.16119964143777
"42",-1.7036203176409,-1.24570482807554,-0.634428143972817
"43",-1.56533223605558,-0.277256621822731,-3.40757407594937
"44",-2.49920611681588,-0.207198000269755,-2.25387948679227
"45",-3.69190414853398,-0.0869824107411349,-2.84074279698104
"46",-2.97351019834381,-0.40024670261821,-1.27754126342448
"47",-0.838271471395273,-1.93088426788102,-0.861512101200358
"48",-1.51157266877724,-0.463987682343176,-1.89269068995609
"49",-1.94690973079968,-2.93617625908824,-0.217885744544703
"50",-1.08163994930557,-2.38825855348802,-0.563573402947926
"51",-1.82033997287099,-2.74824217656097,-0.256197630119814
"52",-0.732443365392337,-1.67950985751154,-1.10020844959143
"53",-1.53941335332174,-1.90721746839835,-0.450985471169807
"54",-1.74596513569712,-0.55863289520519,-1.37226134487895
"55",-1.00895075553638,-2.91284308510371,-0.542870977808881
"56",-1.55989363342519,-1.48690336074224,-0.573109016517736
"57",-2.14126231813685,-0.746882702666123,-0.894890793025208
"58",-3.72415199235757,-0.145509216113659,-2.1956651062464
"59",-1.71130370959833,-0.340009723538616,-2.22927470419893
"60",-1.10006736734053,-1.99593682817808,-0.632494233919281
"61",-1.09658986500075,-1.26988279020622,-0.954181341269533
"62",-2.49168229423248,-0.263946412483614,-1.90236906675773
"63",-2.65315674837652,-0.145286227120136,-2.73650017553215
"64",-0.990363704355341,-2.44838388889401,-0.612258180279818
"65",-1.57774769112021,-0.985031811708204,-0.867183684515108
"66",-1.43327541645756,-3.2707154854946,-0.323662489554349
"67",-1.62584820960598,-0.516307037544882,-1.57728477306093
"68",-2.03650103044941,-0.379995488393073,-1.68388654382451
"69",-4.55919434343928,-0.445049750497333,-1.05343689754021
"70",-2.55912541430454,-0.400277443727035,-1.37636967565551
"71",-2.63705973995636,-0.365122907056404,-1.45107924205784
"72",-0.944443834853443,-3.34803277491356,-0.551733111369885
"73",-0.730892595943194,-2.92627647979936,-0.765879748255463
"74",-1.03741378504732,-3.70798330396712,-0.476258206975912
"75",-2.86054623793339,-0.408648874507131,-1.2793611453681
"76",-1.42552241973906,-1.11386703035153,-0.840881489410754
"77",-2.18542731976815,-0.808323220005756,-0.816523003810574
"78",-2.63345276001447,-0.347912439236449,-1.5050361287656
"79",-3.79235551577917,-0.535011665453661,-0.93701627553365
"80",-1.86178807295263,-0.433763769817491,-1.62688856855944
"81",-4.28795858016674,-0.45623785358883,-1.04240975414741
"82",-0.741258574474355,-2.37930636192488,-0.84194562372368
"83",-1.79593959413178,-0.300598573023227,-2.36815190630186
"84",-0.937620827093459,-2.92995445021171,-0.588711102140555
"85",-1.01268760244138,-2.89953111351849,-0.541784000040931
